time,bullet
     * Time Control: 100:50:15+30spm(1),FALSE
     * Time Control: 100m:20m,FALSE
     * Time Control: 100m:30m,FALSE
     * Time Control: 100m:30m+30spm(1),FALSE
     * Time Control: 100m:40m+30smp(1),FALSE
     * Time Control: 100m:50+30smp(1),FALSE
     * Time Control: 100m:50m:10m+30spm(1),FALSE
     * Time Control: 100m:50m:15m+30spm(1),FALSE
     * Time Control: 100m:50m:15m+30spm(61),FALSE
     * Time Control: 100m(40)+60m+30sec Delay,FALSE
     * Time Control: 100m+10spm,FALSE
     * Time Control: 100m+30spm,FALSE
     * Time Control: 105m(40)+30m+30spm,FALSE
     * Time Control: 105m+10m+5spm(41),FALSE
     * Time Control: 105m+10spm,FALSE
     * Time Control: 105m+15m,FALSE
     * Time Control: 105m+30spm(1),FALSE
     * Time Control: 10m,FALSE
     * Time Control: 10m/7m 1spm(41)Armageddon,FALSE
     * Time Control: 10m/7m 1spm(61)Armageddon,FALSE
     * Time Control: 10m/7m 3spm(61)Armageddon,FALSE
     * Time Control: 10m+10spm,FALSE
     * Time Control: 10m+2spm,FALSE
     * Time Control: 10m+3spm,FALSE
     * Time Control: 10m+5spm,FALSE
     * Time Control: 110m(40)+30m,FALSE
     * Time Control: 110m+10spm,FALSE
     * Time Control: 110m+5spm,FALSE
     * Time Control: 120:60:15+30spm(61),FALSE
     * Time Control: 120m,FALSE
     * Time Control: 120m:30m+30spm(41),FALSE
     * Time Control: 120m:60m,FALSE
     * Time Control: 120m:60m:15m+30spm(61),FALSE
     * Time Control: 120m:60m:30m,FALSE
     * Time Control: 120m:60m+5spm(41),FALSE
     * Time Control: 120m(40):30m+10spm(1),FALSE
     * Time Control: 120m(40)+45m+10spm,FALSE
     * Time Control: 120m(40)+60m+30spm,FALSE
     * Time Control: 120m+10spm,FALSE
     * Time Control: 120m+10spm(40),FALSE
     * Time Control: 120m+15spm,FALSE
     * Time Control: 120m+30m,FALSE
     * Time Control: 120m+30spm,FALSE
     * Time Control: 120m+30spm(40),FALSE
     * Time Control: 120m+5spm,FALSE
     * Time Control: 12m,FALSE
     * Time Control: 12m+2spm,FALSE
     * Time Control: 12m+3spm,FALSE
     * Time Control: 12m+5spm,FALSE
     * Time Control: 130m + 30sec delay,FALSE
     * Time Control: 13m+2spm,FALSE
     * Time Control: 15m,FALSE
     * Time Control: 15m+10spm,FALSE
     * Time Control: 15m+2spm,FALSE
     * Time Control: 15m+3spm,FALSE
     * Time Control: 15m+5spm,FALSE
     * Time Control: 15m+6spm,FALSE
     * Time Control: 180m+15spm,FALSE
     * Time Control: 1m,TRUE
     * Time Control: 1m+1spm,TRUE
     * Time Control: 20m,FALSE
     * Time Control: 20m+10spm,FALSE
     * Time Control: 20m+10spm(1),FALSE
     * Time Control: 20m+5spm,FALSE
     * Time Control: 25m,FALSE
     * Time Control: 25m+10spm,FALSE
     * Time Control: 25m+15spm,FALSE
     * Time Control: 25m+20spm,FALSE
     * Time Control: 25m+2spm,FALSE
     * Time Control: 25m+5spm,FALSE
     * Time Control: 30m,FALSE
     * Time Control: 30m+10spm,FALSE
     * Time Control: 30m+10spm delay,FALSE
     * Time Control: 30m+5spm,FALSE
     * Time Control: 3m,FALSE
     * Time Control: 3m+1spm,FALSE
     * Time Control: 3m+2spm,FALSE
     * Time Control: 3m+3spm,FALSE
     * Time Control: 40m+10spm,FALSE
     * Time Control: 40m+5spm,FALSE
     * Time Control: 45m,FALSE
     * Time Control: 45m+10spm,FALSE
     * Time Control: 45m+15spm,FALSE
     * Time Control: 45m+30spm,FALSE
     * Time Control: 4m+2spm,FALSE
     * Time Control: 4m+3smp,FALSE
     * Time Control: 4m+3spm,FALSE
     * Time Control: 50m+10spm,FALSE
     * Time Control: 5m,FALSE
     * Time Control: 5m:vs:4m,FALSE
     * Time Control: 5m+1spm,FALSE
     * Time Control: 5m+2spm,FALSE
     * Time Control: 5m+3spm,FALSE
     * Time Control: 5m+5spm,FALSE
     * Time Control: 5m+5spm delay,FALSE
     * Time Control: 5mvs3m Armageddon,FALSE
     * Time Control: 5vs4Arm,FALSE
     * Time Control: 60m,FALSE
     * Time Control: 60m(40)+15m,FALSE
     * Time Control: 60m+10spm,FALSE
     * Time Control: 60m+15spm,FALSE
     * Time Control: 60m+30m,FALSE
     * Time Control: 60m+30spm,FALSE
     * Time Control: 60m+5sd,FALSE
     * Time Control: 60m+5spm,FALSE
     * Time Control: 60m+7spm,FALSE
     * Time Control: 6m+5spm,FALSE
     * Time Control: 6mvs5m Armageddon,FALSE
     * Time Control: 70m+10spm(1),FALSE
     * Time Control: 70m+30spm(1),FALSE
     * Time Control: 70m+5spm,FALSE
     * Time Control: 70m+5spm(1),FALSE
     * Time Control: 75m:15m:30spm(1),FALSE
     * Time Control: 75m(40)+15m,FALSE
     * Time Control: 75m+10spm(1),FALSE
     * Time Control: 75m+30spm(1),FALSE
     * Time Control: 75m+5spm(1),FALSE
     * Time Control: 7m+2spm(1),FALSE
     * Time Control: 7m+3spm,FALSE
     * Time Control: 80m(40):10m+30spm,FALSE
     * Time Control: 80m(40):20m+30spm,FALSE
     * Time Control: 85m:25m,FALSE
     * Time Control: 8m+2spm,FALSE
     * Time Control: 8m+3spm,FALSE
     * Time Control: 8m+4spm,FALSE
     * Time Control: 90m:10m:30spm(1),FALSE
     * Time Control: 90m:15m:10spm(1),FALSE
     * Time Control: 90m:15m:30spm(1),FALSE
     * Time Control: 90m:20m+30spm(1),FALSE
     * Time Control: 90m:30m,FALSE
     * Time Control: 90m:30m+30spm(1),FALSE
     * Time Control: 90m:60m+10spm(41),FALSE
     * Time Control: 90m:60m+30spm,FALSE
     * Time Control: 90m(40) + 30m + 30sec per move,FALSE
     * Time Control: 90m+10spm(1),FALSE
     * Time Control: 90m+15spm,FALSE
     * Time Control: 90m+30spm,FALSE
     * Time Control: 90m+30spm(1),FALSE
     * Time Control: 90m+30spm(40)+120m,FALSE
     * Time Control: 90m+35spm(1),FALSE
     * Time Control: 90m+45spm(1),FALSE
     * Time Control: 90m+5spm(1),FALSE
     Time Control: 90m:30m+30spm(1),FALSE
